trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
204,False,"{'a': 0.5, 'e': 0.12870034108965536}",20,7,0.8574812042739257,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
205,False,"{'a': 0.5, 'e': 0.12741333767875881}",20,0,19.12302456854591,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
206,False,"{'a': 0.5, 'e': 0.12613920430197123}",25,9,25.14272601490098,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.5, 'e': 0.12487781225895152}",30,7,4.729576323320007,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 0}",1
208,False,"{'a': 0.5, 'e': 0.123629034136362}",20,0,-0.9211454984803416,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
209,False,"{'a': 0.5, 'e': 0.12239274379499838}",25,6,32.68178796322246,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.5, 'e': 0.1211688163570484}",30,16,21.468790054376925,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.5, 'e': 0.11995712819347792}",25,8,1.6547262105579337,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
212,False,"{'a': 0.5, 'e': 0.11875755691154315}",20,7,-10.507503514157209,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
213,False,"{'a': 0.5, 'e': 0.11756998134242772}",20,13,-8.494320367418055,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
214,False,"{'a': 0.5, 'e': 0.11639428152900344}",25,0,24.961636768955668,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
215,False,"{'a': 0.5, 'e': 0.11523033871371341}",20,8,-25.80590308616089,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
216,False,"{'a': 0.5, 'e': 0.11407803532657627}",20,16,8.492490592341822,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.5, 'e': 0.11293725497331052}",20,8,-43.57802531975063,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 1}",1
218,False,"{'a': 0.5, 'e': 0.1118078824235774}",20,12,11.538881840097728,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.5, 'e': 0.11068980359934164}",25,15,7.522304390647848,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.5, 'e': 0.10958290556334822}",25,15,-4.924679844220522,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
221,False,"{'a': 0.5, 'e': 0.10848707650771475}",25,14,9.615012942337673,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
222,False,"{'a': 0.5, 'e': 0.1074022057426376}",25,7,-39.734071754309355,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
223,False,"{'a': 0.5, 'e': 0.10632818368521123}",25,16,16.52183052668801,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.5, 'e': 0.10526490184835911}",20,0,-9.273522929166937,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
225,False,"{'a': 0.5, 'e': 0.10421225282987552}",20,13,-29.74112824466324,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
226,False,"{'a': 0.5, 'e': 0.10317013030157676}",20,12,14.107387804600767,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.5, 'e': 0.10213842899856099}",35,14,27.85688874154675,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.5, 'e': 0.10111704470857538}",20,4,-20.12848197818149,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
229,False,"{'a': 0.5, 'e': 0.10010587426148963}",20,14,13.344111385546231,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.5, 'e': 0.09910481551887473}",25,19,10.401983499278733,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.5, 'e': 0.09811376736368599}",20,15,8.49347525009711,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.5, 'e': 0.09713262969004913}",30,0,-60.30814025062351,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 2}",0
233,False,"{'a': 0.5, 'e': 0.09616130339314863}",20,10,12.285273739573839,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.5, 'e': 0.09519969035921715}",25,0,29.92119803089069,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
235,False,"{'a': 0.5, 'e': 0.09424769345562498}",25,9,30.633815614353665,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
